Actual Cumulative Returns: 2018-11-19 to 2023-03-27,Algo Cumulative Returns: 2018-11-19 to 2023-03-27
0.585205028,0.750271852
0.597877601,0.734024768
0.596332166,0.735922126
0.593550381,0.739355073
0.583659592,0.751675519
0.57953843,0.756983025
0.581186895,0.754829829
0.585101999,0.749744997
0.583968679,0.751197224
0.588604987,0.745233237
0.595301875,0.736754302
0.589841335,0.743512346
0.582629301,0.752603326
0.566762827,0.773098625
0.560065939,0.782233584
0.558417474,0.784535964
0.563671955,0.777153799
0.561405316,0.780278892
0.56645374,0.773262253
0.566144653,0.773684186
0.557593241,0.785370407
0.569956728,0.767956429
0.565011333,0.774619826
0.565732537,0.773631069
0.578611168,0.756019726
0.561714403,0.778097226
0.577168762,0.756689562
0.576447558,0.757635086
0.578611168,0.754791415
0.600144241,0.726701778
0.606841129,0.718592659
0.602513909,0.723716749
0.603853287,0.72210794
0.593859468,0.734058882
0.591695858,0.736733281
0.59911395,0.727496855
0.599835154,0.726621106
0.602926025,0.722876923
0.602616938,0.723247502
0.60890171,0.715704658
0.614465279,0.709165224
0.606841129,0.717964391
0.619513703,0.702971246
0.623634865,0.698294903
0.637852875,0.682374749
0.625077272,0.696042083
0.621265197,0.700286942
0.618998558,0.702841886
0.617762209,0.704245698
0.61106532,0.711880116
0.612713785,0.709959684
0.617556151,0.70434877
0.611786524,0.710929272
0.613434989,0.709013666
0.608283536,0.714967762
0.605810839,0.717874135
0.594374614,0.73142584
0.588604987,0.738525831
0.59262312,0.733484258
0.582526272,0.745981034
0.583247476,0.745057464
0.581908098,0.746768424
0.57294457,0.758271408
0.580156604,0.748726542
0.589944364,0.736094857
0.587986812,0.738537365
0.573562745,0.75665463
0.581083866,0.746732628
0.568411292,0.763017754
0.548629714,0.789571934
0.559138677,0.774447739
0.564805275,0.766599088
0.565629508,0.765480374
0.563878014,0.767850714
0.552029672,0.783984979
0.557284154,0.776522636
0.553678137,0.781547278
0.533381414,0.810197225
0.527611787,0.81896119
0.542241912,0.796252248
0.540799505,0.798370343
0.539769215,0.799891338
0.55233876,0.781264359
0.559241706,0.771500376
0.572223367,0.753591561
